id	weight	title	languages	libraries_APIs	software	technologies	Standards	description	image_url
15	50	Metadata Visualization	Java	Prefuse				Took over Java (Prefuse) metadata visualization tool development to meet deliverable deadline. Finished interactive GUI with emphasis on visual layouts and real-time exploration. Provided multiple linked views of the data. Each view uses a specialized layout algorithm to highlight salient points. Linking views assures that user's actions in one layout are visible in all other layouts. Layouts are interactive and dynamic to support user exploration.	project_images/Metadata_Visualization.png
16	50	Web App to Process GPS data	JavaScript	jQuery				"Collected GPS data from volunteers for an automotive HMI project (to predict and propose driver actions). Created HTML5 web page that volunteers could use to upload, browse, and modify their GPS traces. This used HTML5 features, jQuery, the jQuery DataTables plugin, and the Google Maps API. Developed web-based trip data visualizations to impress stakeholders and find problems (Google Earth and Google Maps). See press release for target product at <a href=""http://www.mitsubishielectric.com/news/2014/0210.html"">Mitsubishi Electric News</s>"	project_images/ProcessGPX_screenshot.jpg
17	30	Multi-user Game	Flash/ActionScript					"Multi-user game to demonstrate multiple users interacting at the same time in a game (long before touch tablets and touch screens became popular). Pivot and fire to destroy junk food without destroying healthy food. In-depth Flash development. Designed full game architecture, interactions, use of graphics/sound, etc. <a href=""Videos/veggies_with_3_people.wmv"">Video</a>"	project_images/veggies.png
18	30	Gesture Exploration - Flicking Documents	C#					"Developed layout to let touch table users spin a carousel-style desktop and flick documents back and forth.<br><a href=""Videos/RotatingAndFlickingDocuments.wmv"">Flick-Documents Video</a><br><a href=""Videos/GestureEngine_with_Flash.wmv"">Gesture Engine Visualization Video</a>"	project_images/FlickDocuments.png
19	80	Mouse Emulation for Multi-User Touch	VB.NET					"Developed Windows mouse support via touch. This <a href=""Copy of DiamondTouchMouse/DiamondTouch Mouse Users Manual.htm"">DTMouse mouse emulation utility</a> was a critical component of the DiamondTouch SDK. It allowed touch tables to be used to drive the Windows OS and applications -- long before Windows added touch support in Windows 8. <a href=""Videos/DTMouse.mp4"">DTMouse Video</a>"	project_images/DTMouse_State_Machine.png
20	40	Driver Familiarity Algorithm/Heat Maps	Python	Python Imaging Library PIL 1.1.7				"Develop numerical estimators of how familiar a driver is with the current area. This familiarity value was provided as a feature (input) to the driver prediction algorithm. First familiarity estimator used the number of times a road segment had been traversed. Another familiarity estimator used the distance from previous route traces to estimate familiarity. Experimented with familiarity visualizations including heat maps, and road segment colors."	project_images/CarHMI_heatmaps.png
21	100	DTCollaborate for ESRI ArcGIS	C#	ArcGIS ArcObjects	"ESRI ArcGIS, ArcMap, Visual Studio"	"GIS, UX, GUI, HMI, HCI, UI, OO"		"Created comprehensive ESRI ArcGIS ArcMap extension to bring simultaneous multi-user collaborative capabilities to the GIS community, including unique layer-aware interaction-history.  The underlying ArcObjects object model is a part of the huge and complex ArcGIS software framework. This shipping product was for the <a href=""http://www.circletwelve.com/products/dtcollaborate.html"">DTCollaborate for ESRI's ArcGIS</a> product. See documentation <a href=""http://esenther.github.io/portfolio/ArcMapDTExtension/"">here</a>. <br><a href=""Videos/ArcMapDiamondTouchExtensionScreenCapture.wmv"">Features Video</a>"	project_images/ArcGISplugin.JPG
22	50	Schema Similarity Exploration Tool	Java	"Swing, jogl, jzy3d"				"Developed a 3D scatterplot tool to interactively compare two schemas using various schema matchers. User can select 2 database schemas to compare, then select from one of dozens of custom matching algorithms to apply. Scatterplot of elements in each schema is color-coded to show correct matches (green), incorrect matches (red), and missed matches (yellow). The height indicates the similarity value for the element pair using the currently-selected matcher. Coded using Java Swing/jogl/jzy3d. <br/>Example matchers include PrefixNameMatcher, SynonymMatcher, TriGramDistanceMatcher, LevenshteinStringMatcher, NameMatcher, PathNameMatcher, ChildPathMatcher, SiblingMatcher, StructureMatcher, LinearCompositeMatcher."	project_images/ASM_demo_matcher_similarity_explorer.png
23	30	Multi-User Touch Map Exploration	Visual Basic 6					Created a custom multi-user multi-touch map application featured in cover story of Japanese New Media magazine.	project_images/DTMap_NewMedia_magazine_cover.png
24	60	SOA Web Integration Project	"JavaScript,Java"	"Mozilla Firefox plugin, SWT, Eclipse RCP"		"XUL, WSDL, RDF, ActiveX "		"Web Integration project sponsor needed a way to programmatically interact with arbitrary websites (e.g. for ordering parts) that are designed only for mouse/keyboard interaction. Developed a Mozilla Firefox plugin as part of an SOA (Service-Oriented Architecture) Integration solution. (Experimented with SWT and Eclipse RCP; developed plugin with XUL, WSDL, RDF, ActiveX support). <ul><li style=""list-style-type:square"">Determined that the best solution would be a browser plugin to capture all mouse/keyboard interactions with an existing website. The plugin automatically generated an intelligent web service wrapper (WSDL/RDF), which allowed the website to be accessed entirely programmatically. Project successfully completed and delivered on time. </li><li style=""list-style-type:square""> Demonstrated the final system by writing an interactive energy cost data visualization (described elsewhere)."	project_images/SOA_WrapperDesignTool_system_architecture.png
25	50	Interactive Energy Cost Data Visualization	"C#,JavaScript"			"HTML, CSS, KML"		"Demonstrated the final SOA Web Integration project (described elsewhere) by writing a multi-component data visualization that dynamically retrieved electricity cost information from an NSTAR website to create color-coded 3D bar charts of energy costs on an interactive 3D view of Massachusetts (C#, embedded web browser, JavaScript, HTML, CSS, generated KML).</li>"	project_images/SOA_WrapperDesignTool_example_application.png
26	50	Power Theft Detection (MATLAB/Java/Swing)	"Java,MATLAB"	"Swing, JFreeChart"				Ported MATLAB algorithm code to Java for Power Theft Detection project. Then developed Swing (JFreeChart) exploration tool and demo. Also experimented with a 3D data visualization of unusual findings (described elsewhere).	project_images/PowerTheftDemo.png
27	30	HTML5 jQuery DataTables Application	JavaScript	jQuery				"Developed a web interface for optimizing schema matching results that works in conjunction with the MERL Automatic Schema Matching (ASM) framework. The tool is written with HTML5, jQuery, and the DataTables jQuery plugin. It generates an interactive table from ASM output, which can be used to perform sorting and filtering operations in conjunction with a proprietary algorithm to look for optimal matching results."	project_images/Schema Match Optimizer webpage.png
28	50	Gestures for Synchronizing Map Views	"C#,JavaScript"	"ArcGIS ArcObjects, Google Earth API"		KML 		"Created multi-surface map application to present at the ESRI International User Conference (GIS) as ""Multi-Touch Gestures for Controlling Synchronized Map Views"" (C#, embedded browser, KML, ArcGIS). Simultaneously synchronized views across multiple applications: ESRI ArcGIS, Google Earth, maps in web browser, and a custom application. A web service was used to synchronize the applications.<br/>Can control a local or a remote secondary view(s). Secondary viewport is determined by:<ul><li>Location: Mid-point of 2 touch points</li><li>Rotation: Angle between 2 touch points</li><li>Zoom: How far apart you move the two touch points</li></ul><a href=""Videos/Multi-Touch Gestures in ArcGIS for Controlling Synchronized Google Earth Views.wmv"">Video</a>"	project_images/gesture_to_control_zoom_and_orientation.png
29	30	Time Tunnel	Visual Basic 6		Visual Studio	"UX, UI, dataviz, GUI"		"Developed prototype serial image presentation technique for searching video streams. This Rapid Serial Visual Presentation technique was incorporated in the TimeShuttle feature of a high-end 73"" Mitsubishi TV (Mitsubishi WD73927)."	project_images/timetunnel.png
30	50	Java Mobile Agents	"Java, JavaScript"					"Front-end development of the Concordia Mobile Agents architecture for an Enterprise Application Integration system (Java, HTML, JavaScript, servlets)"	project_images/ConcordiaMobileAgents.png
31	60	Network Mirror	C/C++					"Responsible for extensive C libraries, volume daemon integration, and utilities for very successful Veritas (now Symantec) VxVM Network Replication project. Three-person effort generated over $10 million in mostly licensing revenue."	project_images/NetworkMirror.png
32	30	Device Profile for Web Services	Java	"WS4D, Apache Axis2, Apache Tomcat"	NetBeans		DPWS	"Took over floundering DPWS (Device Profile for Web Services) deliverable just before end of project. Rewrote it from C to Java to insure deliverable that allowed remotely controlling devices from Japan. Coded AirConditionerDevice, AirConditionerService, and AirConditionerClient in Java with NetBeans. Wrote custom DPWSProxyServlet using Apache Tomcat and Apache Axis2 Web Services / SOAP / WSDL engine to provide remote access to get/set temperature controls. Entire multi-month deliverable successfully delivered on time in less than 1 month."	project_images/DPWS.png
33	20	Investigations: Hadoop/Semantic/Analytics	Java		"Hadoop, Hive, Pig, HDFS, Oracle VM VirtualBox, SPARQL"		"RDF, OWL, XML, RDFS"	"Project investigations: performed comprehensive surveys and reports on applicability of Hadoop, Semantic Web/Ontologies, and Text Analytics to various projects."	project_images/Investigations.png
34	50	MATLAB algorithm development	MATLAB					Implemented complex optimal scheduling algorithm in MATLAB. Computes optimized policy for a system (optimal accelerations for an under-powered car to go up a hill).	project_images/MATLAB_optimal_policy.png
35	80	Elevator Simulator Development	C/C++		Elevate			Worked with creator of Elevate (industry-standard elevator traffic analysis and simulation software) to add hooks for multi-car and for pseudo-batch operation (C/C++). Several contributions from this collaboration appeared in the next world-wide release of Elevate. Wrote an alternative C++ double-car scheduling algorithm as an Elevate extension to reduce Average Waiting Times from 65 seconds to 15 seconds. 	project_images/Elevate_double_car_simulator.png
36	80	Distributed Regression Framework	C#	"WCF, LINQ"				"An elevator scheduling algorithm (project described elsewhere) had to be tested using industry-standard elevator traffic analysis and simulation software (Elevate) to get realistic performance numbers. Over 50,000 simulation jobs were required, but Elevate was designed to be run by an interactive user (not batch). Developed C#.NET WCF-based Distributed Computing Framework (web services, LINQ, XML) regression system for remotely launching and monitoring 52,000 Elevate GUI simulation jobs on a battery of test machines. "	project_images/Elevate_DistributedRegressions_AdminClient.jpg
37	70	Tableau Colleges Dashboard	Tableau		Tableau	"UX, UI, dataviz, GUI, GIS"		"Sample Tableau Software dashboard for exploring New England college data. Sample is hosted on <a href=""https://public.tableausoftware.com/views/NEColleges2010/NECollegesDashboard?:embed=y&:display_count=no"">Tableau Public</a>"	project_images/Tableau_NE_Colleges_Dashboard.png
38	80	Tableau Boston Car Data Explorer Dashboard	Tableau		Tableau	"UX, UI, dataviz, GUI, GIS"		"Dashboard created in Tableau using data from the Boston Car Data Explorer project (described elsewhere).  Sample is hosted on <a href=""https://public.tableausoftware.com/views/BostonCarDataExplorer/Dashboard1?:embed=y&:display_count=no"">Tableau Public</a>"	project_images/Tableau_Boston_Car_Data_Explorer_Dashboard.png
